design_id,reason
Ro80_q0.45_L12W_r1.60_th165_k0.50,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L12W_r1.60_th165_k0.75,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L12W_r1.60_th170_k0.00,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L12W_r1.60_th170_k0.25,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L12W_r1.60_th170_k0.50,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L12W_r1.60_th170_k0.75,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r0.60_th120_k0.00,TJ radius below 6W
Ro80_q0.45_L16W_r0.60_th120_k0.25,TJ radius below 6W
Ro80_q0.45_L16W_r0.60_th120_k0.50,TJ radius below 6W
Ro80_q0.45_L16W_r0.60_th120_k0.75,TJ radius below 6W
Ro80_q0.45_L16W_r0.60_th135_k0.00,TJ radius below 6W
Ro80_q0.45_L16W_r0.60_th135_k0.25,TJ radius below 6W
Ro80_q0.45_L16W_r0.60_th135_k0.50,TJ radius below 6W
Ro80_q0.45_L16W_r0.60_th135_k0.75,TJ radius below 6W
Ro80_q0.45_L16W_r0.60_th150_k0.00,TJ radius below 6W
Ro80_q0.45_L16W_r0.60_th150_k0.25,TJ radius below 6W
Ro80_q0.45_L16W_r0.60_th150_k0.50,TJ radius below 6W
Ro80_q0.45_L16W_r0.60_th150_k0.75,TJ radius below 6W
Ro80_q0.45_L16W_r0.60_th165_k0.00,TJ radius below 6W
Ro80_q0.45_L16W_r0.60_th165_k0.25,TJ radius below 6W
Ro80_q0.45_L16W_r0.60_th165_k0.50,TJ radius below 6W
Ro80_q0.45_L16W_r0.60_th165_k0.75,TJ radius below 6W
Ro80_q0.45_L16W_r0.60_th170_k0.00,TJ radius below 6W
Ro80_q0.45_L16W_r0.60_th170_k0.25,TJ radius below 6W
Ro80_q0.45_L16W_r0.60_th170_k0.50,TJ radius below 6W
Ro80_q0.45_L16W_r0.60_th170_k0.75,TJ radius below 6W
Ro80_q0.45_L16W_r0.80_th120_k0.00,center profile is not monotone from midplane to GB
Ro80_q0.45_L16W_r0.80_th120_k0.25,center profile is not monotone from midplane to GB
Ro80_q0.45_L16W_r0.80_th120_k0.50,center profile is not monotone from midplane to GB
Ro80_q0.45_L16W_r0.80_th120_k0.75,center profile is not monotone from midplane to GB
Ro80_q0.45_L16W_r0.80_th135_k0.00,center profile is not monotone from midplane to GB
Ro80_q0.45_L16W_r0.80_th135_k0.25,center profile is not monotone from midplane to GB
Ro80_q0.45_L16W_r0.80_th135_k0.50,center profile is not monotone from midplane to GB
Ro80_q0.45_L16W_r0.80_th135_k0.75,center profile is not monotone from midplane to GB
Ro80_q0.45_L16W_r0.80_th150_k0.00,center profile is not monotone from midplane to GB
Ro80_q0.45_L16W_r1.00_th120_k0.00,center profile is not monotone from midplane to GB
Ro80_q0.45_L16W_r1.00_th120_k0.25,center profile is not monotone from midplane to GB
Ro80_q0.45_L16W_r1.00_th120_k0.50,center profile is not monotone from midplane to GB
Ro80_q0.45_L16W_r1.00_th120_k0.75,center profile is not monotone from midplane to GB
Ro80_q0.45_L16W_r1.00_th135_k0.00,center profile is not monotone from midplane to GB
Ro80_q0.45_L16W_r1.00_th135_k0.25,center profile is not monotone from midplane to GB
Ro80_q0.45_L16W_r1.00_th135_k0.50,center profile is not monotone from midplane to GB
Ro80_q0.45_L16W_r1.00_th135_k0.75,center profile is not monotone from midplane to GB
Ro80_q0.45_L16W_r1.00_th150_k0.00,center profile is not monotone from midplane to GB
Ro80_q0.45_L16W_r1.00_th150_k0.25,center profile is not monotone from midplane to GB
Ro80_q0.45_L16W_r1.00_th150_k0.50,center profile is not monotone from midplane to GB
Ro80_q0.45_L16W_r1.00_th150_k0.75,center profile is not monotone from midplane to GB
Ro80_q0.45_L16W_r1.00_th165_k0.00,center profile is not monotone from midplane to GB
Ro80_q0.45_L16W_r1.00_th165_k0.25,center profile is not monotone from midplane to GB
Ro80_q0.45_L16W_r1.00_th165_k0.50,center profile is not monotone from midplane to GB
Ro80_q0.45_L16W_r1.00_th165_k0.75,center profile is not monotone from midplane to GB
Ro80_q0.45_L16W_r1.00_th170_k0.00,center profile is not monotone from midplane to GB
Ro80_q0.45_L16W_r1.00_th170_k0.25,center profile is not monotone from midplane to GB
Ro80_q0.45_L16W_r1.00_th170_k0.50,center profile is not monotone from midplane to GB
Ro80_q0.45_L16W_r1.00_th170_k0.75,center profile is not monotone from midplane to GB
Ro80_q0.45_L16W_r1.20_th120_k0.00,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.20_th120_k0.25,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.20_th120_k0.50,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.20_th120_k0.75,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.20_th135_k0.00,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.20_th135_k0.25,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.20_th135_k0.50,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.20_th135_k0.75,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.20_th150_k0.00,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.20_th150_k0.25,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.20_th150_k0.50,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.20_th150_k0.75,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.20_th165_k0.00,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.20_th165_k0.25,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.20_th165_k0.50,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.20_th165_k0.75,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.20_th170_k0.00,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.20_th170_k0.25,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.20_th170_k0.50,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.20_th170_k0.75,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.40_th120_k0.00,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.40_th120_k0.25,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.40_th120_k0.50,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.40_th120_k0.75,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.40_th135_k0.00,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.40_th135_k0.25,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.40_th135_k0.50,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.40_th135_k0.75,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.40_th150_k0.00,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.40_th150_k0.25,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.40_th150_k0.50,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.40_th150_k0.75,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.40_th165_k0.00,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.40_th165_k0.25,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.40_th165_k0.50,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.40_th165_k0.75,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.40_th170_k0.00,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.40_th170_k0.25,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.40_th170_k0.50,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.40_th170_k0.75,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.60_th120_k0.00,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.60_th120_k0.25,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.60_th120_k0.50,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.60_th120_k0.75,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.60_th135_k0.00,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.60_th135_k0.25,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.60_th135_k0.50,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.60_th135_k0.75,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.60_th150_k0.00,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.60_th150_k0.25,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.60_th150_k0.50,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.60_th150_k0.75,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.60_th165_k0.00,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.60_th165_k0.25,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.60_th165_k0.50,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.60_th165_k0.75,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.60_th170_k0.00,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.60_th170_k0.25,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.60_th170_k0.50,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L16W_r1.60_th170_k0.75,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L20W_r0.60_th120_k0.00,center profile is not monotone from midplane to GB; TJ radius below 6W
Ro80_q0.45_L20W_r0.60_th120_k0.25,TJ radius below 6W
Ro80_q0.45_L20W_r0.60_th120_k0.50,TJ radius below 6W
Ro80_q0.45_L20W_r0.60_th120_k0.75,TJ radius below 6W
Ro80_q0.45_L20W_r0.60_th135_k0.00,TJ radius below 6W
Ro80_q0.45_L20W_r0.60_th135_k0.25,TJ radius below 6W
Ro80_q0.45_L20W_r0.60_th135_k0.50,TJ radius below 6W
Ro80_q0.45_L20W_r0.60_th135_k0.75,TJ radius below 6W
Ro80_q0.45_L20W_r0.60_th150_k0.00,TJ radius below 6W
Ro80_q0.45_L20W_r0.60_th150_k0.25,TJ radius below 6W
Ro80_q0.45_L20W_r0.60_th150_k0.50,TJ radius below 6W
Ro80_q0.45_L20W_r0.60_th150_k0.75,TJ radius below 6W
Ro80_q0.45_L20W_r0.60_th165_k0.00,TJ radius below 6W
Ro80_q0.45_L20W_r0.60_th165_k0.25,TJ radius below 6W
Ro80_q0.45_L20W_r0.60_th165_k0.50,TJ radius below 6W
Ro80_q0.45_L20W_r0.60_th165_k0.75,TJ radius below 6W
Ro80_q0.45_L20W_r0.60_th170_k0.00,TJ radius below 6W
Ro80_q0.45_L20W_r0.60_th170_k0.25,TJ radius below 6W
Ro80_q0.45_L20W_r0.60_th170_k0.50,TJ radius below 6W
Ro80_q0.45_L20W_r0.60_th170_k0.75,TJ radius below 6W
Ro80_q0.45_L20W_r0.80_th120_k0.00,center profile is not monotone from midplane to GB
Ro80_q0.45_L20W_r0.80_th120_k0.25,center profile is not monotone from midplane to GB
Ro80_q0.45_L20W_r0.80_th120_k0.50,center profile is not monotone from midplane to GB
Ro80_q0.45_L20W_r0.80_th120_k0.75,center profile is not monotone from midplane to GB
Ro80_q0.45_L20W_r0.80_th135_k0.00,center profile is not monotone from midplane to GB
Ro80_q0.45_L20W_r0.80_th135_k0.25,center profile is not monotone from midplane to GB
Ro80_q0.45_L20W_r0.80_th135_k0.50,center profile is not monotone from midplane to GB
Ro80_q0.45_L20W_r0.80_th135_k0.75,center profile is not monotone from midplane to GB
Ro80_q0.45_L20W_r0.80_th150_k0.00,center profile is not monotone from midplane to GB
Ro80_q0.45_L20W_r0.80_th150_k0.25,center profile is not monotone from midplane to GB
Ro80_q0.45_L20W_r0.80_th150_k0.50,center profile is not monotone from midplane to GB
Ro80_q0.45_L20W_r0.80_th150_k0.75,center profile is not monotone from midplane to GB
Ro80_q0.45_L20W_r0.80_th165_k0.00,center profile is not monotone from midplane to GB
Ro80_q0.45_L20W_r0.80_th165_k0.25,center profile is not monotone from midplane to GB
Ro80_q0.45_L20W_r0.80_th165_k0.50,center profile is not monotone from midplane to GB
Ro80_q0.45_L20W_r0.80_th165_k0.75,center profile is not monotone from midplane to GB
Ro80_q0.45_L20W_r0.80_th170_k0.00,center profile is not monotone from midplane to GB
Ro80_q0.45_L20W_r0.80_th170_k0.25,center profile is not monotone from midplane to GB
Ro80_q0.45_L20W_r0.80_th170_k0.50,center profile is not monotone from midplane to GB
Ro80_q0.45_L20W_r0.80_th170_k0.75,center profile is not monotone from midplane to GB
Ro80_q0.45_L20W_r1.00_th120_k0.00,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
Ro80_q0.45_L20W_r1.00_th120_k0.25,negative center squared radius; center profile is not monotone from midplane to GB; center topology fails before requested loss
